"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","MHL-017.IC","","COV         1 minute"
"Point_2:","MHX1-017.IC","","COV         1 minute"
"Point_3:","MTX1-017.IC","","COV         1 minute"
"Point_4:","MVD1-017.IC","","COV         1 minute"
"Point_5:","MVV1-017.IC","","COV         1 minute"
"Point_6:","TOTKWEV-MB.IC","","COV         15 minutes"
"Point_7:","TOTKWEV.IC","","COV         30 minutes"
"Point_8:","MDI.001-650.IC","","COV         30 minutes"
"Point_9:","MDICOR.GM","","COV         15 minutes"
"Point_10:","MDE.EFDP.IC","","COV         15 minutes"
"Point_11:","MTXLOY","","COV         15 minutes"
"Point_12:","DEMANDE.ELEC.MOYEN60S.BS","","COV         15 minutes"
"Time Interval:","1 Hours"
"Date Range:","1/1/2019 00:00:00 - 4/9/2019 23:59:59"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3","Point_4","Point_5","Point_6","Point_7","Point_8","Point_9","Point_10","Point_11","Point_12"
"1/1/2019","00:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","5500","No Data","3665.67"
"1/1/2019","01:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3608.26"
"1/1/2019","02:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3620.81"
"1/1/2019","03:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3643.31"
"1/1/2019","04:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3627.49"
"1/1/2019","05:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3706.98"
"1/1/2019","06:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3565.86"
"1/1/2019","07:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","4003.41"
"1/1/2019","08:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","4085.49"
"1/1/2019","09:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","4119.99"
"1/1/2019","10:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3968.78"
"1/1/2019","11:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3976.14"
"1/1/2019","12:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3889.96"
"1/1/2019","13:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","3995.23"
"1/1/2019","14:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","0","No Data","4044.18"
"1/1/2019","15:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","4012.41"
"1/1/2019","16:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","4049.36"
"1/1/2019","17:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","4081.27"
"1/1/2019","18:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","4487.32"
"1/1/2019","19:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","4142.90"
"1/1/2019","20:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","4303.25"
"1/1/2019","21:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","4179.30"
"1/1/2019","22:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","4209.57"
"1/1/2019","23:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","4129.81"
"1/2/2019","00:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","3790.16"
"1/2/2019","01:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","3748.84"
"1/2/2019","02:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","3713.12"
"1/2/2019","03:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","3875.51"
"1/2/2019","04:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","3786.07"
"1/2/2019","05:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","100","No Data","3862.29"
"1/2/2019","06:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","3734.25"
"1/2/2019","07:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4293.97"
"1/2/2019","08:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4416.83"
"1/2/2019","09:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4380.28"
"1/2/2019","10:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4391.33"
"1/2/2019","11:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4142.49"
"1/2/2019","12:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4233.98"
"1/2/2019","13:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4137.44"
"1/2/2019","14:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4558.50"
"1/2/2019","15:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4593.54"
"1/2/2019","16:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4286.34"
"1/2/2019","17:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4411.51"
"1/2/2019","18:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","200","No Data","4292.06"
"1/2/2019","19:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","4355.47"
"1/2/2019","20:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","4242.98"
"1/2/2019","21:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","4429.10"
"1/2/2019","22:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","4306.79"
"1/2/2019","23:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","4219.25"
"1/3/2019","00:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","3860.92"
"1/3/2019","01:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","3857.92"
"1/3/2019","02:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","3922.42"
"1/3/2019","03:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","3915.87"
"1/3/2019","04:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","3788.52"
"1/3/2019","05:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","3946.14"
"1/3/2019","06:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","3988.55"
"1/3/2019","07:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","4362.42"
"1/3/2019","08:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","300","No Data","4391.33"
"1/3/2019","09:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","400","No Data","4716.94"
"1/3/2019","10:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","400","No Data","5005.59"
"1/3/2019","11:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","400","No Data","4779.66"
"1/3/2019","12:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","400","No Data","4877.01"
"1/3/2019","13:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","400","No Data","4493.86"
"1/3/2019","14:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","400","No Data","4579.08"
"1/3/2019","15:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","400","No Data","4474.23"
"1/3/2019","16:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","400","No Data","4609.90"
"1/3/2019","17:00:00","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","No Data","500","No Data","4570.63"
